rachel_good,rachel_bad,ross_good,ross_bad
yeah.,sure.,everyday i am gonna do one thing that i haven't done before. that my friends is my new year's resolution.,"and that’s funny, why?"
"joey, why don't you just tell her what happened? it's not your fault.",yeah-eah-ha!,"in fact, i'll bet you 50 bucks that you can't go the whole year without making fun of us. eh, y'know what, better yet? a week.","or! or, we could go to the bank, close our accounts and cut them off at the source."
"it's not here pheebs, it's not here. ohh, i went to joey and chandler's last night! okay!","oh well, you don’t want to do that now?!",ohh.,and that’s not against your oath?!
wait a minute. chandler has a jewelry box?,okay.,okay! hey! chandler and,hello.
hey!,basketball!,i just asked that girl out.,we’d like to close our accounts.
"the earring? no. but look, i found my sunglasses under the couch! i've been looking for these since like last summer.","i uh, i have two tickets to the knicks game tonight if you’re interested, just as a thank you for this week.",yes it is. see.,no-no.
"okay, calm down, here they are.",really?,"that's right, uh, elizabeth hornswoggle.","no! and somehow, we ended up with a joint checking account."
"i don't know, i don't know.","i have an extra ticket. an extra ticket. not, two tickets, i have an extra ticket.","hi, pheebs!",what did you want to show us? because all i can see is this bitchin' van!
"oh gosh, she's going to kill me.","he didn’t turn me down! he’s at the game isn’t he? i got the date, i’m just not on it!","oh-oh, guess what? i-i have a date with elizabeth hornswoggle.","i don’t know, i could maybe go out for a couple of beers, but there’s this thing about bumblebees on the discovery channel that i was planning to watch."
ohh that'd be great!,wow! monica!,"all right, see you later.",nooo!! gandolf?! gandolf is coming to town?
"okay, wait a minute. wait a minute, i-i-i, i can't do this. listen honey, this is, it's not phoebe's fault. she lent me the earrings, and i lost it. i'm so sorry. honey, i feel terrible too.","honey, this is not your fault, just because you guys had a fight, it does not justify her sleeping with someone.",hi!,"dude, we are sooo gonna party!"
your sunglasses?!,really?,"oh see, i-i needed a new thing for today and there's this leather store that always smells so good and i thought to myself, ""wow, i never really owned a good smelling pair of pants before.""","mike ""gandolf"" ganderson, only like the funest guy in the world."
"honey, you have nothing to prove. and if you really like this girl, i don't flirting is the right thing to…","yes! i will! absolutely! hello, rachel. hi, joshua. i left my wallet here on purpose. really? yes, i just wanted to see you again. oh, i’m glad. rachel, i’d like to say something to you. yes? how you doin’?","okay, seriously, what do you think?",i’m gonna call after you!
i'm sorry.,how does going to a strip club help him better?,"what are you, what are you doing?",ler and ross woooo!!!
"okay, well, i'm gonna clear out some of these boxes.",um-hmm. there we go. there it is.,"what, to blind my child?","joey, you are gonna love this guy. gandolf is like the party wizard!"
"hey! hey! hi! hey-hey-hey, i'm rachel! from upstairs? the ones with all the pizza?",yeah!,"my god! these pants are burning up! oh come on, she wants to snuggle now! what is she trying to kill me? it's like a volcano in here! are you hot?",gandolf the wizard. hello! didn’t you read lord of the rings in high school?
"no. no. every thing's--they're fine. great pizza. but it's uh, actually umm my friend ross. he uh, just gets really nervous when he's flirting.","oh, okay. uhh, well let’s see. you’re about—well uh, this one is large. and this one—","okay, it must just be me then.","hey! okay! i got my passport, fresh socks, and a snake bite kit!"
yeah.,"yeah! okay, two larges coming right up!","that was just the pants on the couch. umm, hey, do you, do you mind if i use your bathroom?",ler and ross whoa-whoa-whoa!
"i know, i know, but uh just, i'm telling you, once, once you get past that part, that where it-it just feels like you wanna die, he's-he's really a good person.",yes.,thanks.,somewhere maybe along the equator?
"yeah. i'm-i'm telling you he's really sweet and he's really funny and he's just ugh, got a good heart. and besides, i y'know, i think he really likes you.",sure. you got it. great!,ahhhhhhhhhhhhhh……….,what happened?
"well y'know, we have 7 people and like 10 pizzas, what do you think?","me, fledermaus, great. i really—",'kay!,"ohh, man! chicago, is sooo lucky!"
"hey ross? umm, i just ran into caitlin in the hallway and-and uh, you must be getting better at this flirting stuff than i thought.",so?,oh my god!,"it’s gandolf, and he’s not coming."
"well, i don't get it, but she wanted me to give you her phone number.","ohh! right! right, sorry, i’ll be right back!","joey, it's ross! i need some help!",no! i balanced my checkbook.
yeah!,oh.,"well, you can help me!",i can’t believe he didn’t come!
i-i-i didn't! i didn't! she thought you were cute.,no! nothing!,"listen, i'm in elizabeth's bathroom…","yeah! we’d meet, we’d meet total strangers, and hang out with them!"
yay!,yeah! that would be great!,"no, i-i got really hot in my leather pants so i took them off but they must have shrunk from the-the sweat or-or-or my legs expanded from the heat. look, i-i can't put them back on. i can't!",there’s other stuff too.
pheebs? could you get that? please?,"well, i-i guess—i…","powder! yeah! yeah, i have powder!",yeah!
no! no! it's just that all the people in the entire world that i want to talk to are right here.,"yeah, great, you betcha!","yeah, okay, hold on! they're not coming on man.",yeah!!
sucker!,what?,"ohh, i-i see lotion, i have lotion! will that work?",it’s not like we don’t know how to party!!
hi!,"oh. oh, right.",hold on.,and ross yeah!!!
"well, i guess i could take a couple days off work.",oh yay!,"they're still, they're still not coming on man and the lotion and the powder have made a paste!","hey-hey-hey, when uh, when were we on a boat?"
"oh no, wait a minute, wait, i've got a presentation tomorrow. i can't miss that.",hey!,what difference does that make?!,yeah.
that sounds great.,"hey, monica!","dude, what am i gonna…",okay.
"okay. yeah, that would be nice actually, to have the apartment to myself for a night.","ohh, it’s joshua invited me to this fancy club opening tonight. but, i already told mr. waltham that i would take his niece to this dumb old opera. so… what are you gonna do?","all right, i'm coming out. hey, can you turn the lights off.",ler and ross yeah.
no! so i can be by myself. y'know? have a little alone time.,no! help me!,i had a problem.,i’m kinda beat.
"no! phoebe just because i'm alone doesn’t mean i wanna walk around naked. i mean, you live alone, you don't walk around naked.",phoebe?,"this year was supposed to be great! but, it's only the second day and i'm a loser with stupid leather pants that don't even fit!",ler and ross yeah.
"oh! look what happened! {don't get your hopes up guys, we only get to see her from the back or from the neck up. its times like these i wish that the networks would broadcast some nudity other than denis franz's butt.} huh, check me out! i'm in my kitchen…naked! i'm picking up an orange. i'm naked! lighting the candles, naked, and carefully.",ugh!,look at me!,"yeah, me too."
"love to love ya baby! ow! love to love ya baby! ow! love to love ya, baby! darnit! ugh.","ohh, gosh. you guys, come on, this is—i have to meet joshua! this is my one chance for him to see the fun rachel. y’know the ""wouldn’t it be great if she was my wife"" rachel. ohh, all right! are joey and chandler back?","oh, be-because of the leather pants.","i’m just glad i brought that extra pair of socks, y’know? i used them as mittens, i didn’t want to touch a thing in that last place."
"uh, yeah, if you want too.",ohh! hi!,"maybe i should get another pair! ooh, y'know, they-they had some with fringe all down the sides. i'm gonna go kiss ben goodnight. i can't believe he thinks i'm a cowboy. i would make a good cowboy.",how sad are we?
"yeah, sure?",so….,"ironically, most of the boxes seem to be labeled clothes.",and ross yeah!
"and um, what-what is that ross?","ohhhh, come on!!!","hey! hey! if he's moving, maybe i should try to get his place!",ler and ross yeah!
what?! are you crazy?,"no! wait! wait-wait! ross, please!",it would be so cool to live across from you guys!,"and so what if i like to go home, throw on some kenny g, and take a bath!"
"oh god, you saw me?! oh!","i’ll be right there! okay, ross, please come on! i thought we have moved on! i thought we’ve gotten to a place where we could be happy for each other! i mean was that just me?",oh my god! i love this apartment! isn't it perfect?! i can't believe i never realized how great it is!,hey!
"noo!! no! you thought, you actually thought i wanted to have sex with you?!","oh thank you! thank you, thank you, thank you! emily?",ohh.,"i’m sorry i’m late, did i miss anything?"
"ohh wow! i’m sorry, but ross you kicked off your shoes!",i’m rachel green.,what's going on? phoebe and,15? your personal best!
"yes of course, absolutely! you're right. i'm sorry.",there’s been a teeny-teeny change in plans. it turns out that i’m not free tonight. so…,what?! what?!,"oh, on a date. yeah, i met this girl on the train going to a museum upstate."
yes.,"oh well, no i…","actually, it looks really good.","okay, it was just me and her at the back of the train, and i sat near the door, so she’d have to pass by me if she wanted to switch cars. she was totally at my mercy."
"okay. oh wait! one more thing umm, do-do we still need to uh settle the question of ""us?""",i’ll get her.,hey!,"no, i’m getting back down ‘cause she lives in poughkeepsie. she seems really great, but she’s like totally great, but she lives two and a half hours away."
"okay umm, ross? i'm-i'm really warm, so i'm going to be taking off my sweater. now, i'm just letting you know that this is not an invitation to the physical act of love.","hey—whoa, slow down. no, keep moving. wow!","well, i called over there and it turns out ugly naked guy is subletting it himself and he's already had like a hundred applicants.","oh, wow! i should get going. i-i got a date tonight."
i'm sorry. i'm done. i'm done.,"well, i didn’t see joshua last night, but i did punch a girl in the face.","no-no, i got the edge. i know it's not exactly ethical but i sent him a little bribe to tip the scales in my direction. check it out, you can probably see it from the window.",you know that girl i told you about who lives up in poughkeepsie?
"no, not really. i mean you've seen me naked hundreds of times.","the whole night was horrible, it was pouring down rain, and when i got there, there was no rachel green on the list, but there was a rachel greep.",no.,"not her. yeah, this is someone else i meet, and i-i can’t decide between the two of them. y’know the one from poughkeepsie, even though she’s a two hour train ride away, is really pretty, really smart, and-and a lot of fun. but this other girl, well, she lives right uptown. y’know she’s, well she’s-she’s just as pretty, i guess she’s smart, she’s not fun."
"okay. all right, that's true! but y'know i just don't embarrass that easily.","no, there is no rachel greep, but then this other girl overheard us and she was all, ""i’m rachel greep! i’m rachel greep!"" and he let her right in.",no.,"well, i-i want to give her another chance, y’know? she lives so close. and, at the end of the date, the other time, she-she said something that was—if she was kidding was very funny. on the other hand, if she wasn’t kidding, she’s not fun, she’s stupid, and kind of a racist."
"no, i don't! ross, i think i'm just a more secure person than you are.","no, she was already in, but then this big bitch behind me tried to steal my umbrella, so i clocked her. ohhh! i can’t believe this, all i wanted was a few hours outside of work to see joshua, so he can go ahead and start falling in love with me.",a basket of mini-muffins.,hey!
yeah.,"honey, that’s you’re name.",the small one.,i wasn’t sleeping.
"yeah, all right. all right! just keep walkin'! all right?",what? who the hell is emily— noooo!! ,well yeah! someone sent us a basket at work once and people went crazy over those little muffins. it was the best day.,"the one with the cat. i gotta go, i’ve got another date."
"ross! what are you… i'm sorry sir. i just, i think he just really likes you.",they’re in vermont!! how could this happen?!,oh man! i want that place so much!! i was so sure that was gonna work! there's twelve bucks i'll never see again!,"no, it turns out that the one from uptown was making a joke. but it was a different joke than i thought—it wasn’t that funny. so i’m still torn."
hi! the,how—how did end up in vermont with that awful witch?!,noooo.,"y’know, you’re right. thank you."
"yes, i'm sorry. do you have any extra pants? umm, my friend seems to have had a little accident.",i don’t get this! she was horrible!,look i've already looked at like a thousand apartments this month and none of them even compares to that one!,what?
"yes, i did. thank you very much, it was excellent. the","i don’t care! all right, y’know what i’m just upset that i’m getting nowhere with joshua that—y’know what still, you do not meet someone and go flitting off to vermont!",huh?,what?
ahh.,"oh, y’know, would you just for once , not remember every…little…thing!!","that is a great idea! and! i know ugly naked guy because we've been watching him for like five years so that gives me back my edge! oh, let's see now he had the trampoline.",are we really in montreal?!
"hello! ohh, kids love me.","well, i just checked our messages and joshua didn’t call. i mean you’d think he’d be worried about me not showing up at his club. ugh, you know what makes it so much worse, ross is all happy in vermont!","well, he had gravity boots.","coffee sounds great. wait, so, so you live in montreal?"
hi!,i can’t believe it! he still hasn’t called.,"okay, i've got to go pick up ben but i-i will figure something out. hey, didn't he used to have a cat?",people can hear you.
pancho vila?,it’s joshua.,right.,yeah.
"what are you talking about pheebs? i don't… oh my god, you drew on me?!","no, i don’t.","good evening, sir. my name is ross geller. i'm one of the people who applied for the apartment. and i-i realize that the competition is fierce but—i'm sorry. i, i can't help but notice you're naked and i applaud you. man, i wish i was naked. i mean, this-this looks so great. that is how god intended it.",that is one good looking man!
"ross, i have been walking around like this since the plane! i can—you have so crossed a line.","yeah, come on! what’s going in on in there?","a new place for a new ross. i'm gonna have you and all the guys from work over once it's y'know, furnished.",dude!
"all right, it won't come off!","see, i don’t know, for me it would have to chantal.",well i am that. and that whole rage thing is definitely behind me.,here’s your girlfriend’s button.
it won't come off!,"oh my goodness, she had the smoothest skin! i mean when i stuck that dollar bill in her g-string and grazed her thigh…",oh donald that-that would be great. i am totally ready to come back to work. i—what? no! wh… what are you doing?!! get off my sister!!!!!!!!!!!!!,hey!
"no, actually i took it off then i drew it back on.","well, are we all together? like in a group?",hey!,"well, kathy gets half-naked and simulates sex with a real good lookin’ guy."
hi!!,"oh, hey!",wow! you look nice. what's the occasion?,"oh-oh, alec baldwin and kim basinger."
hi.,what?,wow! how'd you get in there?,yeah.
what?! what else did he say?,"oh, hmm.",what the hell was that?!,they’re not a couple!
"ross, no! there is no way i am leaving this room looking like this!",joshua.,"the flirting! aren't you supposed to be going out with, i don't know hmm, let's say my sister?!",oh yeah!
"ross, i am a human doodle!!","yeah, i…","it was totally flirting. ""somebody got a haircut """,no.
"okay, i need a, i need a drink!","oh, thank goodness!","yeah, right.","y’know what, i don’t know how comfortable i am going to see how hot the sex is between some guy and your girlfriend."
macadamia nut?,"oh, no problem. i’m so glad i could help. happy for you.",i'm good.,"oh no-no-no, i’m there."
hm-mmm!,"no, happy for you!","and on your anniversary, for shame!",oh yeah!
nope!,"no-no-no, that’ not joshua.",chandler was hitting on the hot delivery girl!,somebody seems to be missing being the hostess.
"oh my god, i'm starting to look like my great aunt, muriel.","well, joshua’s coming in tomorrow and since i don’t have the guts to ask him out, i’m going to sell him a coat and put this note in the pocket.","well i'm sorry but you were! okay? and besides if anyone should be hitting on her it's the guy who's single, the guy that who-who-who can do something about it.","all right, let’s not jump to any conclusions. all right? there was some sexual chemistry between them."
hit me!,"oh, here’s that trench-coat that you wanted.",well…,"here she comes. don’t say a word, okay? just be cool, don’t be…y'know you."
i bet 20.,yeah?,"well, i-i was watching her the other day at the pizza place.",hey!
hit me. hit me. hit me. hit me. hit me. hit me. hit me.,"oh no-no, no-no, they don’t want you to put your hands in the pockets until you are out of the store.",and she's just so sexy and funny and has the cutest little…,"oh, absolutely!"
"yeah, and also we need more umm, drinks. hold on a second. whup, okay. hello! vegas? yeah, we would like some more alcohol, and y'know what else? we would like some more beers. hello? ohh, i forgot to dial!","well, that’s because of a lot of…","this is perfect! she'll have to come back here with your pizza, and when she does, i'll turn on the charm-o-ross. oh i'm so glad you don't eat meat.","okay, i…"
"ohh, i love joey! joey lives with a duck!",i know!,i'll get it! i will get that!,"uh, hello!"
hey!,oh?,hi!,"oh, yumm!"
"i'm doin' good, baby. how you doin'?","well, congratulations, so do you love her?","oh. uh, by the way, if it makes you feel any better. i happen to like 8-year-old boys.","cookies and porn, you’re the best mom ever!!"
ohhh!!,"huh. well, uh, that’s uh, that’s interesting.","the uh, your hair, before, your hair, you said you thought your looks like an 8-year-old's, and i'm just saying i like it. the hair.","yeah, how does jason look in a v-neck?"
"oops! all right, so what do you want to do now?","oh, it’s just an anti-theft device.",you understand i don't actually like 8-year-old boys.,"oh, whatever."
"okay, y'know what? there's only one way i'm leaving this hotel room.","you need that, you need that too ‘cause obviously, a thief could just tear this up.","you couldn't let me have her, could ya?!",so you were right?
good luck to ya!,"oops, sorry. listen, we-we have to have a party tonight! actually, we have to have one in five minutes, so everybody cancel your plans.",this is a girl that i really like and had too swoop in there!,chandler!
wow!,"we have to have a surprise bon voyage party for emily. but it’s actually for joshua. look, he said he’s not ready to date, so i had to invite him to a party if i wanted to see him outside of work, and now i have the perfect opportunity to seduce him!",chandler was totally flirting with the hot delivery girl!,"he’s right, what she did was unforgivable."
hello! ross and,surprise!!!,really?!,how might you be wrong?
hello!,"well, it was all ross’s idea.","and thank you, for that.",that’s all you’re basing this on?
"well, hello, mr. rachel!","uhh, because i’m trying to play hard to get. oh, quick he’s looking over here, say something funny.","what? what-what, what are talking about? it-it worked with you.","so the first time you ask a guy out, he-he turns you down?"
wait! okay!,"okay, y’know what, y’know what? this playing hard to get thing is not working. umm, hand-hand me those cherries. okay. okay. hi!","all right, all right. you-you-you know what i'm going to do? i am going to order another pizza and when caitlin gets here, you-you--i will show how well i flirt. yeah! i will, i will get her phone number! and not the one on the menu!",oh my god!
"well, hello, mr. rachel!",care for a cherry?,are you sure?,this is beautiful!
wait! okay!,"no? y’know, i can tie one of these into a knot using just my tongue.","hey pheebs! how's that uh, vegetarian pizza working out for ya? you and those vegetables have a real thing going on, huh?","look, mon, do you want us to uh, come back later?"
ohhh!,"oh, could somebody give me a hand with this zipper?",do you like it?,hey!
i don’t know. do-do you have any clothes on?,up!,"okay, i'm working on my flirting.",what are you saying?
really?!,"yeah, i did. i needed my lucky dress.",joey! this is like the last commercial. you've got like ten minutes left!,"well, if-if she thought they were on a break…"
oh! i remember laughing! i laughed a lot.,"ohh, god! look at him, he’s so cute. i wanna go over there, grab him, and kiss him! how can i kiss him and not letting him know that i like him?","oh, mine! mine! mine! okay, here goes. prepare yourselves for some class a flirting.","ohh, geller’s got one hooked! ohh! looks like a big one! yeah, ohh! ohh! it’s the classic struggle between man and— someone knocked over a lamp."
"ohh, i mean, we were really drunk. i’m just glad we didn’t do anything stupid.",what?,"you'll see. okay. oh, what's-what's her name?",because there are naked ladies there.
"i don’t know. what do you mean last night? nothing, nothing uh, happened last night.",it’s not christmas!,"hey! oh, we-we can't keep eating like this.",there are naked ladies there too.
who got married?!,he’s not 11!,"okay, so, do you make the pizzas in one of those uh, wood-burning ovens?","come on, man! just-just take the sweats off. okay? just take ‘em off and we’ll have some fun."
"no, we didn’t get married! that’s ridiculous!",what? you’re leaving?!,gas? wow! intense.,hi!
oh my god.,"no! you guys can’t leave yet! you have to stay, we-we got the whole big thing planned!","hey uh, y'know that smell gas has?",catch any big fish?
no!,"so, spin the bottle works like this i spin the bottle, it lands on gunther, so i would have to kiss gunther. all right. who wants to go first?",they put that in.,are you kidding?!
"well, i guess we just find a divorce lawyer?",yay! emily!,"the gas is odorless, but they add the smell so you know when there's a leak.",he hasn’t gotten out of that chair in two days.
"hey, hubby!","okay, my turn!! rachel squeals in delight and starts a slow sexy crawl over to joshua, making sure he and everyone else watching gets a good look at her cleavage.]",a lot of other gas smells…,hey!
uh-huh.,"it’s okay! it’s okay! it kicked once, it’ll kick again!",meth-methane smells…,hi!
"okay! so, we’ll just stay married.","all right, well, everybody just remember where they were sitting.",oh but i-i-i haven't paid you yet!,no.
and i will make everyone call me mrs. geller!,just a bug. ,was i talking to her about gas?,"you want me to take some girl i’ve never met to the opera so you can go to a club and flirt with some guy, hmm, that-that is a toughie."
"okay, see now i’m scared because i don’t actually think you’re kidding.","no-n-n-n-no! i am finally thinking clearly. my lucky dress wasn’t working out to well for me, but for four years, this baby never missed.","look, no-no, hey, hey, don't worry about it! in nine years, she and i will be right there.","all right, i’ll do it."
what-wh-what so we’ll just stay married forever?!,hi!,yeah?,please hurry.
"ohh, okay, i’m sorry. you’re right. y’know what? we absolutely can stay married, because i was under the impression that the boxes were far away from each other. all right, look, just please, take a moment here and think about what you’re asking of me.","ohh, yeah, well i wanted to give emily a big american good -bye cheer. so okay! ready! okay! gimme an ‘e!’",what do you mean?,"when we first met her, she was soaking, her feet were wet! who wouldn’t be miserable? i’m telling you when i got her into a dry pair of shoes, she was a totally different person."
you are asking me to be your wife!,gimme an ‘m!’,and she just gave you this?,"i’ve gotta go, there’s a deer just outside eating fruit from the orchard!"
hey!,gimme an ‘i!’,"rach, thanks but uh, i don't need you doing me any favors.",hey!
"no! ross, come on! no! listen, look i thought a lot about how to tell you this and the bottom line, ross, is we can not stay married.",gimme an ‘l!’,well that i can believe.,"emily is…incredible. i mean there-there are no words to describe it, i mean the whole weekend was like a dream. oh! and you! rach!"
oh b-b-but it is!,gimme a ‘y!’,and she's supposed to buy this?!,hey! you were so right!
"oh ross, come on! this is not, this is not a marriage!! this is the world’s worst hangover! ross, listen, if you do not get this annulment, i will!",what do you get? emily!! emil—whoa!! okay! so that’s me as a cheerleader! ta-dum!,hm-mmm.,"uh, what you said, about us being in a place where we could finally be happy for each other."
"thank you. hey-hey umm, uh, is there, is there any such thing as an annulment shower?","i’m fine! i’m fine! i’m just losing a tooth, it’s no big deal. i have a dentist! y’know. i’m gonna go put some ice on it. excuse me. what do i do now? what do i do now?",hey!,"i mean, i, i-i admit i-i wasn’t quite there. y’know, i mean the thought of you and that-that josh guy…"
"huh, that’s funny. you look like you’re gonna be the…","all right, come on, let’s go get your coat.","oh, but i've got tickets to the van gogh exhibit! i've been waiting like a year for this.","joshua…guy at that club, dancing and having a good time, the thought of it kinda…y’know."
"all right. okay chandler, enjoy your handful.","oh, yeah! real fun. y’know, this bra… really, bothers me. y’know, this used to be my bedroom. yeah. a lot of memories in here, a lot of memories. if these walls could talk, y’know what they’d say? wanna hear some memories?",what'd you say?,but now! i’m there! i’m totally there! i’m-i’m finally where you are!
"hey, so did everything go all right with the annulment?","oh no-no-no! no, i got this all under control.",is that supposed to be an insult?,"yeah, and-and thank you for emily."
"ross, thank you. hey, do you guys wanna go see a movie?","ughhhh!! forget it! this is, this is not how this is supposed to happen.","so rach, maybe you and i could fly out together saturday.",happy for you.
pheebs?,"can you not look at me when i say this? i thought that if i could get you here, i could seduce you.",yeah? all right i'll call the airlines.,"oh, we went to see a collection of victorian doorknobs and the cupert-hewitt museum."
"okay, umm, i’m gonna get my sweater.","well, i’m sorry, i thought you needed them!","oh my god! that's rachel naked! i can't look at that! i am looking at this. okay, vivid colors, expressive brush strokes — unless she wants me to be looking at that. she knows i'm home. she knows i can see her. what kind of game is she playing? i think maybe someone's lonely tonight. oh-ho, dr. geller! stop it! you're being silly! or, am i?",yeah.
"hey! hey, pheebs, check it out. yeah, for my desert, i have chosen to make a traditional english truffle!",why?!,hey. ,bye.
nothing?,you like me?,may i come in?,"oh yeah, she’s-she’s amazing. and-and she’s so much fun. and! y’know what? when i’m with her, i’m fun! i even signed up for helicopter classes. she’s leaving in two days, i don’t have to do it."
"so, if-if i mess this up, there’s nothing else for dessert?","yeah but-but-but you liked me! oh my god, i can’t believe this, all this time, i liked you and you liked me!",do you want me too?,"yeah, she’s got to go back to london. but you know what? i’ve been prepared for this from the start. we both knew we had two weeks together, and that’s it. y’know."
"wow, monica, i love that, you really have faith in me. thank you. technical question, how do you know when uh, the butter’s done?","oh no-no-no don’t say but! no-no, but’s never good! let’s just leave it at, you like me and i like you.","so do i. okay rach, before anything happens i just want to lay down a couple of ground rules. this is just about tonight. i don't to go through with this if it's going to raise the question of ""us."" okay? i just want this to be about what it is!",pheebs!
her dancer friends?,"oh, now see that’s a fancy but.",the physical act of love.,hello! hello!
really?!,but….,oh so-so you weren't trying to entice me just now with your-your nakedness?,"well, as much as i’d like to meet josh and warn him, emily and i aren’t going to be here. all right? i mean, she’s going to come by first to say good-bye, and then i’ve got a whole special evening planned. so i’m sorry, no party."
"i dunno. y’know to me he’ll always be “jack geller, walks in while you’re changing.”",okay.,you weren't trying to entice me with your nakedness.,you really didn’t know?
"look at it, isn’t it beautiful?","ohh, here you are. i was looking for you before. joshua’s gone so you and emily are free to go.",no! no! no! no-no-no-no.,so we should probably get going soon.
"it’s a truffle. it’s got all of these layers. first there’s a layer of ladyfingers, then a layer of jam, then custard, which i made from scratch, then raspberries, more ladyfingers, then beef sauteed with peas and onions, then a little more custard, and then bananas, and then i just put some whipped cream on top!","oh, ross, i’m sorry. i completely ruined your evening.","can we, can we just forget this ever happened?","yeah, but we-we have to be at the four seasons for drinks in 15 minutes and then y’know, then the plaza for dinner."
"the beef? yeah, that was weird to me, too. but then, y’know, i thought “well, there’s mincemeat pie,” i mean that’s an english dessert, these people just put very strange things in their food, y’know. oh! by the way, can i borrow some rum from your place?","well, if it makes you feel any better, i made a fool out of myself.",thank you.,"no-no-no, no, umm, actually american surprise parties are-are-are very short. it’s usually, ""surprise!"" and then, ""oh my god, i’m so surprised—good-bye!"""
and while i’m gone don’t you boys sneak a taste. joey and,is there room on that step for a pathetic loser?,"all right i guess i'm, gonna go pack.",monica said that did she?
"joey, god, your apartment is like a hundred degrees!",i’m so sorry.,yep! that's hilarious!,"yes, we have something we have to get to."
no!,"well, maybe you didn’t want it to end?","y'know, last night was embarrassing for you too.",what big thing?
yeah?,you seem to really like her.,uh-huh. but it was a first for the rest of my building.,"okay, that-that’s enough! y’know, let’s, let’s let someone else play."
"no, i did, but tell me again, because it’s so romantic.","ross, that girl just spent the entire evening talking to your friends, asking to hear stories about you, looking through monica’s photo albums, i mean you don’t do that if you’re just in it for two weeks.",what?! you totally get embarrassed!,"okay, we could still make dinner if we skipped the appetisers and asked for our check right away."
"joey! come on! i don’t wanna make any mistakes, alright? this is the only dessert and if i screw it up everybody's gonna be like “oh, remember that thanksgiving when rachel screwed up the trifle?”","yeah, you got like 14 hours until she has to be at the airport, and you’re sitting here in the hallway with a 28-year-old cheerleader with a fat lip.",is that so?,"that’s okay. she’s still in there enjoying her fake party and uh, it’s too late to do any of the things i had planned, so…"
"so why don’t you just let me worry about making the trifle and you just worry about eating it, alright?",yeah.,hey lady! i don't care how much you want it! okay?! i am not gonna to have sex with you in the bathroom!,yeah.
okay...,"i don’t know, it was you and a bunch of albino kids.",hey! y'know that teacher who had a baby with her student?,helps a little.
"what’s up, ross?",hey.,what the? what…,"yeah, have a seat."
yeah!,"you’re a pathetic loser, right?","ohh, it was the best! ","that’s okay, i mean it was just two-week thing anyway, i just didn’t want it to end this way, y’know?"
"oh no. no ross, don’t do this.",sit!,i think the check in is that way.,what do you mean?
i just- i don’t think us getting back together is a good idea.,"oh my gosh, joshua!",phoebe!,"yeah, i really do. yeah, but what am i gonna do, i mean we-we both agreed that it was gonna be a two-week thing, y’know no commitment."
"i thought this might happen today. ross, i know the holidays can be rough. y’know? and it’s probably really hard for you to be alone right now.",they’re not true?,"hey, you wet my pants!",you think?
"no, i-i live with phoebe. i mean you’re alone , alone. and i just-it’s just not the time for us. i’m sorry.",oh.,rach! wait! the men's room is that way.,"hey, you’re right."
"joey, you’re gonna have to stop rushing me, you know what? you don’t get any dessert.","oh! oh, i love that but.",what?,thanks. what photo album was it?
"no, i’m just kidding i would never do that to you! okay, everybody, it’s trifle time!",you wanna go inside and have some coffee?,"oooohhh, i'll bet she's one of those people.","oh my god! those weren’t albino kids, that was computer camp! rach!"
it sure is.,okay. every time.,"what? no-no, a lurker.","ohh, god, nobody likes him, and he’s so cheap, he’d never fly to london in a million years. yeah, invite him? hey, did i do these neat enough?"
beef.,"oh god monica hi! i just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!","okay when you're playing a machine and it hasn't paid out, a lurker waits for you to give up and then…",yeah?
"alright, monica, i want you to have the first taste.","hi, sure!",no. they swoop in and steal your jackpot.,sure. why not?
"oh oh oh, wait! you only got whipped cream in there! ya gotta take a bite with all the layers!",i knew.,uh-hmm.,yeah?
"op! wait, you dropped a pea.",i did.,my nana used to do it. that's how she paid for all my dance—karate lessons.,"wait-wait-wait, do you, do you think, maybe we shouldn’t invite her?"
well?,"yeah, maybe...","yes, it's a deadly but beautiful sport.",yeah sure.
really? how good?,really?,what?!,"huh? yeah, fine, invite whoever you want."
"okay, now what was that all about? is it-does it not taste good? let me try it.","oh ross, you're so great.","oh my god! rach-rach, are-are-are you sure?","i don't want to be single, okay? i just... i just- i just wanna be married again!"
"...so a bird just grabbed it, and then tried to fly away with it and, and then just dropped it on the street?",okay.,joey!!,hi.
"oh, phoebe, do i wanna hear this?",ohhh!!!!,thanks man.,"you know you probably didn't know this, but back in high school, i had a, um, major crush on you."
"oh my god, he dream-cheated on you!","oh, look at the little cat! look at it!","hey listen i uh, talked to chandler, sorry about the movie.",you did! oh.... i always figured you just thought i was monica's geeky older brother.
i wasn’t supposed to put beef in the trifle!,"all right, listen, missy. if you want this cart, you're gonna have to take me with it!",your what?,"oh. listen, do you think- and try not to let my intense vulnerability become any kind of a factor here—but do you think it would be okay if i asked you out? sometime? maybe?"
"you guys! it was bananas, cream, and beef! i-i just cannot believe that you ate that so that i wouldn’t feel bad!",yes! did you see that?,what?! that's not gonna make you any money!,"okay... okay, maybe i will..."
